Criterion ID,Criterion name,Relevance based on use case parametrization,Evaluation requirement,Evaluation principle,Supportive guidance,Evaluation method,Evaluation tools,Reference to EU AI Act
EX-01,Criterion ID Criterion name,Relevant filter logic applicable for this criterion ,Brief description of what the criterion is about ,Document-based or Test-based ,"Supplementary definitions: Explanation or definition of terminology 
Exemplary [parameters]: Examples or options for the variables in the []-brackets to be filled with 
Additional guidance regarding the requirement: Guidance and extra information that help with 
understanding of the criterion ",Instructions for the testing and evaluation of the criterion ,Suggestions for evaluation tools and methods for testing of the evaluation criteria ,"References to corresponding articles of the EU AI Act 
Note: The fulfilling of a requirement of the AICRIV Finance criteria catalog is not automatically 
equivalent to an adherence to the requirements of the EU AI Act. 
5 
First of all, each evaluation criterion is assigned a unique Criterion ID and a Criterion name. 
The ID consists of an abbreviation for the dimension the criterion is assigned to and a sequence 
number, e.g., TR-07 for the seventh criterion in the transparency dimension. The name of the 
criterion is another means of identifying the criterion and provides a first indication of its topic. 
The Relevance based on use case parametrization states the relevant questions and answers of 
the use case questionnaire that determine whether the criterion should be applied. The ques­
tionnaire, along with the general approach in which it is applied, is presented in Chapter 5. 
The information given in the Evaluation requirement field specifically describes the test objec­
tive. The requirement is formulated generically, i.e., it may have to be adapted for the evaluation 
of a specific system. It does not contain any specific references to current methodological ap­
proaches, which helps to ensure that the requirements remain relevant in the long term. The 
evaluation requirement may contain parameters in square brackets that must be filled in based 
on the nature of the target of the evaluation and also the evolving state of the art. 
The stated principle in the Evaluation principle field is directly related to the evaluation method 
and defines the type of procedure for the evaluation of the requirement. It is either document­
based or test-based. 
The Supportive guidance contains definitions that are helpful for understanding the evaluation 
requirement and additional information on fulfilling the requirement. This could be, for exam­
ple, recommendations on what specific information should be included in a particular docu­
mentation. These notes support the user of the catalogue in evaluating the criteria. In addition, 
common examples for the placeholders in the evaluation requirement can be found. 
The Evaluation method, on the other hand, gives specific instructions to the tester as to how the 
fulfillment of the evaluation requirement can be checked. The Evaluation tool field supplements 
the evaluation method with relevant technical tools that can be used to check the evaluation 
requirement. 
The Related AI Act references field contains thematically related requirements from the AI Reg­
ulation and thus offers users a direct link between the requirements for AI systems applicable in 
the EU and the AICRIV criteria catalogue. Further information on the mapping is described in 
6 
Mapping of the Evaluation Criteria to 
the Requirements of the EU AI Act 
The AI Act 1 sets out extensive provisions in connection with the development, placing on the 
market and deployment of AI systems, most of which are aimed at providers of such systems 
(see in particular Art. 4, 6-22, 50, 72 and 73 AI Act). 
A natural or legal person is deemed to be a provider of an AI system if it develops an AI system 
and places it on the market or puts it into service for its own purposes. The mere deployment of 
(non-self-developed) AI systems is also subject to certain provisions (see in particular Art. 4, 26, 
27, 49, 50 and 86 of the AI Act). 
The majority of the regulations only apply to AI systems that are used in predefined high-risk 
areas (so-called high-risk AI systems). Outside the high-risk area, the development and opera­
tion of certain AI systems is subject to transparency provisions (e.g., when chatbots interact with 
natural persons). In addition, both providers and deployers of AI systems must ensure that their 
employees have a sufficient level of AI literacy (Art. 4 AI Act). 
Most of the evaluation criteria in the criteria catalogue are thematically related to many of the 
provisions of the AI Act for AI systems. The criteria catalogue can therefore help to meet the 
provisions of the AI Act. For this purpose, the criteria catalogue contains a field with references 
to corresponding articles of the AI Act. 
It should be noted that the provisions of the AI Act are formulated in a generic or principle-based 
manner and therefore leave some room for interpretation. European standards and guidelines, 
which are intended to specify the provisions, are still being developed. As a result, the criteria 
have been linked to the provisions through the use of a certain degree of interpretation. 
Important: Therefore, the fulfillment of an evaluation criterion is not to be equated with the 
full compliance with the corresponding provision of the AI Act. Rather, the fulfillment of an 
evaluation criterion is to be regarded as a possible contribution to the compliance with the cor­
responding provision of the AI Act. 
1https://eur-lex.europa.eu/eli/reg/2024/1689/ 
7 
AI ACT 
The assessment of whether and to what extent the provisions of the AI Act are met by fulfilling 
the evaluation criteria may be at the discretion of the auditor who checks compliance with the 
EU AI Act in the future. Some criteria are relevant both for providers and for deployers of AI 
systems. In such cases, both the provisions of the AI Act for providers and those for deployers 
were assigned to the criteria. 
A central and overarching provision of the AI Act for providers of high-risk AI systems is the 
maintenance of a quality management system (QMS, Art. 17 AI Act) to ensure permanent con­
formity with the AI Act. It can be assumed that most of the aspects addressed in the criteria 
catalogue are part of good quality management of AI systems. For this reason, the QMS provi­
sion was assigned to the majority of the criteria. It should be noted that for financial institutions, 
the AI Act assumes that some essential components of a QMS are already in place, as they are 
already subject to extensive internal governance provisions under sector-specific regulation (see 
Art. 17 (4) EU AI Act). 
In addition to the provisions for AI systems, the AI Act also formulates provisions for the devel­
opment and placing on the market of ”general purpose AI models” (so-called ”GPAI models”, see 
Art. 53 and Art. 55 AI Act), which are aimed at providers of such models. A natural or legal person 
is deemed to be a provider of a GPAI model if it places a GPAI model on the market (see Art. 3(4) 
AI Act). As providers of GPAI models are not included in the addressees of the criteria catalogue, 
the mapping is limited to the provisions for AI systems; the provisions for GPAI models were 
not considered further. 
8 
A Risk-based, Holistic and Generalizable 
Audit Approach 
Among other things, the criteria catalogue is also intended to serve as a self-assessment tool for 
market participants, e.g., as preparation for an upcoming audit. Not all evaluation criteria are 
equally relevant for all AI systems. To apply the catalogue, a corresponding generalized testing 
approach was therefore developed which can be applied to various scenarios and use cases in 
the financial industry. For this purpose, the evaluation process is adapted based on the risk and 
characteristics of the system under consideration. The aim is to create a flexible testing approach 
that can be transferred to different application areas and that meets the specific and diverse 
provisions of AI applications in the financial sector. 
For the evaluation of the system, whether as part of a self-assessment or by external auditors, a 
certain level of technical understanding is generally required, particularly in the field of artifi­
cial intelligence. Basic knowledge of AI and the existing system is sufficient for answering the 
initial questionnaire to classify the use case and select suitable evaluation criteria. For the ac­
tual evaluation, however, more in-depth specialist knowledge is required in order to implement 
the described test procedures and the supportive guidance, to use recommended test tools if 
necessary, to interpret test results correctly and to make a well-founded final assessment. 
Due to the heterogeneity of use cases, e.g., in terms of data foundation, area of application, ar­
chitecture, etc., each evaluation of a use case requires an individual selection of relevant criteria 
in order to ensure a targeted and efficient testing. At the beginning, a questionnaire helps to 
identify the relevant criteria for the evaluation process. This allows relevant criteria to be fil­
tered out specifically for the respective use case. For example, the questionnaire asks whether 
personal data is processed in order to evaluate the relevance of fairness-related criteria. 
The process of an evaluation using the AICRIV Finance criteria catalogue begins, as shown in 
Figure 5.1, with the filtering or parametrization of the use case to be tested. The relevant criteria 
are then output, which must be adapted according to the system under consideration so that 
they can be applied directly in a (practical) evaluation. A test-based criterion requires a specific 
method or tool for testing that can be adapted using examples from the supportive guidance. 
Furthermore, thresholds must be defined according to the selected method or metric and in 
9 
Figure 5.1: Application of the criteria catalogue as a process-based representation. 
line with the use case requirements under consideration, that define when a test is considered 
to be passed. If necessary, the evaluation method is also specified accordingly and a suitable 
evaluation tool is selected to check the requirement. In this way, the generic criteria are tailored 
to the use case under consideration. 
In the final step, the criteria catalogue is applied in practice. The evaluation method suggests 
how the criterion should be checked. The evaluation tool section provides examples for means 
of evaluation to investigate the fulfillment of the criterion. When testing the AI application 
using the specific criteria, particular focus should be placed on correct documentation in order 
to ensure transparency, traceability and consistency in the implementation and testing. A final 
evaluation report documents the procedure and findings for all evaluated criteria. 
Questionnaire for Filtering Relevant Criteria 
Q1 Does the system integrate Generative AI Foundation Models like Large Language Models? 
• Yes: The system integrates at least one Generative AI Foundation Model. 
• No: Other approaches such as Deep Learning or Shallow Learning Methods were 
used. 
Q2 Is the architecture of involved AI models fully known? 
• Yes: The architecture is fully known. 
• No: The architecture is not or only partially known. 
Q3 Are the parameters (e.g., weights or probability scores) of involved AI models known? 
• Yes: There is full knowledge of parameters of the involved AI models. 
10 
• No: There is only partial or zero knowledge of parameters of the involved AI models 
(e.g. usage of third-party model with API access providing model results and proba­
bility scores or other meta-information / providing model results only). 
Q4 Is the training data fully available for inspection? 
• Yes: The training data is fully available and can be inspected. 
• No: The training data is only partially known or completely unknown. 
Q5 Has at least one integrated model been trained, even partially? 
• ­
­
­
• No: Not at all (e.g. because of using pre-trained / off-the-shelf models). 
Q6 Was personally identifiable or sensitive data used in the training of involved AI models? 
• Yes: Personal data was used to train the involved AI models. 
• No: Personal data was not used to train the involved AI models. 
Q7 Does the AI system interact directly with external consumers (e.g., customers)? 
• Yes: The model interacts directly with external consumers. 
• No: The system does not interact directly with external consumers. 
Q8 Is the model required to explain the reasons for certain conclusions? 
• Yes: The model must explain reasoning for specific inference results. 
• No: A black box result by the system is sufficient. 
Q9 Does the AI system act completely autonomously (human-out-of-the-loop)? 
• Yes: The AI system operates autonomously with no human oversight. 
• No: The system integrates a human (either human-on-the-loop, human-in-the-loop, 
or human control). 
Q10 Does the system have an impact on society? 
• Yes: The model has a societal impact. 
• No: The model has no societal impact. 
Q11 Is the AI system built/operated on a hybrid infrastructure integrating on-premise as well 
as cloud components? 
• Yes: The system is built/operated on a hybrid infrastructure. 
• No: The system is built/operated on either an on-premise or cloud infrastructure. 
11 
Criteria Catalogue 
12 
AI Security & Robustness 
Contents 
AISR-01 - Handling of AI specific security incidents . . . . . . . . . . . . . . . . . . 
14 
AISR-02 -Assessment of threats in third party models . . . . . . . . . . . . . . . . . 
16 
AISR-03 - Risks from non-specified inputs . . . . . . . . . . . . . . . . . . . . . . . . 
18 
AISR-04 -Assessment of security threats . . . . . . . . . . . . . . . . . . . . . . . . . 
20 
AISR-05 - Documented security review protocol . . . . . . . . . . . . . . . . . . . . 
22 
AISR-06 - Formal verification . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
24 
AISR-07 -White box robustness . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
26 
AISR-08 - Gray and black box robustness via surrogate model . . . . . . . . . . . . 
28 
AISR-09 -White box attacks . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
30 
AISR-10 - Gray and black box attacks . . . . . . . . . . . . . . . . . . . . . . . . . . . 
32 
AISR-11 - Backdoor attacks . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
34 
AISR-12 - Robustness on corner cases . . . . . . . . . . . . . . . . . . . . . . . . . . . 
36 
AISR-13 - I/O security . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
38 
AISR-14 - Countermeasures against evasion attacks . . . . . . . . . . . . . . . . . . 
40 
AISR-15 - Countermeasures against information extraction attacks . . . . . . . . 
42 
AISR-16 - Countermeasures against data poisoning attacks . . . . . . . . . . . . . . 
44 
AISR-17 - Countermeasures against model theft attacks . . . . . . . . . . . . . . . 
46 
AISR-18 - Countermeasures against output integrity attacks . . . . . . . . . . . . . 
48 
AISR-19 - Residual risk mitigation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
50 
13 "
AISR-01,Handling of AI specific security incidents,Always relevant. ,"The system shall comply with applicable (cloud) standards and regulations, ensuring necessary 
security controls, incident management, and auditing. Any AI model security incidents shall be 
promptly addressed, logged, and documented. ",Document-based ,"Supplementary Definitions 
Security Controls: 
Measures and mechanisms implemented to safeguard systems, data, and processes against threats, 
ensuring confidentiality, integrity, and availability as per applicable regulations and standards. 
AI-Specific Security Incidents: 
Events where AI systems are compromised, misused, or malfunction due to vulnerabilities, at­
tacks, or breaches, potentially impacting model integrity, data privacy, or system behaviour. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Regulations & standards: e.g. Cloud Computing Compliance Criteria Catalogue (C5), NIST, NIS­
2. 
For the handling of security incidents for example the Policy for Security Incident Management 
(C5-SIM-01) from C5 can be consulted for more information. 
14 ","Verify that the system is compliant to necessary standards and regulations. Check whether an 
adequate process for handling security incidents are in place and previous identified security 
incidents related to the AI model were addressed and documented. ",Not applicable. ,"- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 26 Obligations of deployers of high-risk AI systems 
- 73 Reporting of serious incidents 
15 "
AISR-02,Assessment of threats in third party models,"• The architecture is not or only partially known (Q2) OR 
• There is only partial or zero knowledge of parameters of the involved AI models (e.g. usage 
of third-party model with API access providing model results and probability scores or 
other meta-information / providing model results only) (Q3) OR 
• The training data is only partially known or completely unknown (Q4) ","If the training data and/or model originate from third party, they should be analyzed for poten­
tial attack vectors and the results shall be documented. ",Document-based ,"Supplementary Definitions 
Third Party: 
An external entity (not directly affiliated the system’s owner), responsible for providing training 
data, models, or other services. 
Attack Vectors: 
Paths or methods leveraged by adversaries to exploit vulnerabilities in systems, such as data poi­
soning, model manipulation, or injection of malicious triggers or backdoors. 
Exemplary [parameters] 
Additional guidance regarding the requirement 
Considerations should be at least given to: 
- Triggers; 
- Backdoors; 
- Anomalies in the training data. 
16 ","Ensure that third-party components are analysed for potential attack vectors. Ensure adequate 
documentation of the analysis. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 25 Responsibilities along the AI value chain 
17 "
AISR-03,Risks from non-specified inputs,Always relevant. ,"The behaviour of the system for, and the risk associated with, inputs that do not conform to the 
specified requirements shall be analysed with [methods] and documented. ",Document-based ,"Supplementary Definitions 
Associated Risks: 
The likelihood and potential impact of adverse effects, such as security vulnerabilities or func­
tional failures, caused by handling non-conforming inputs. 
Non-Conforming Inputs: 
Inputs that deviate from defined standards, such as malformed, corrupted, or improperly for­
matted data, potentially affecting system integrity or performance. 
Exemplary [parameters] 
[methods]: Testing frameworks, Robustness assessment tools, American Fuzzy Lop ++ 
Additional guidance regarding the requirement 
Damaged or manipulated inputs can be corrected if it is safely possible. ","Check that the behaviour of the system for inputs that do not meet the specified requirements 
is analysed and documented. 
18 ",Not applicable. ,"- 9 Risk Management System 
- 10 Data and data governance 
- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
19 "
AISR-04,Assessment of security threats,Always relevant. ,"Procedures shall be implemented to continuously monitor and assess new threats related to the 
AI model(s). ",Document-based ,"Supplementary Definitions 
Not applicable. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
All potential threats to the AI system should be carefully considered, including design and tech­
nical faults, environmental risks, and cyber threats. A thorough review of data and features is 
essential to identify vulnerabilities and threats throughout the entire AI lifecycle. 
These threats can include specific technical faults (e.g., hardware information leakage) and cyber 
threats (e.g., DDoS attacks, backdoors). 
In relation to privacy threats, the analysis should focus on identifying and documenting vulner­
abilities in the ML model that could lead to unintended personal inferences or potential side­
channel attacks, which might result in the leakage of personal data. 
20 ","Verify that procedures are in place to continuously monitor and assess emerging threats. Ensure 
that the process covers all potential threats as defined in the supportive guidance. ",Not applicable. ,"- 9 Risk Management System 
- 11 Technical Documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
21 "
AISR-05,Documented security review protocol,Always relevant. ,"The frequency, scope, and method(s) for security and robustness reviews of productive models 
shall be documented. ",Document-based ,"Supplementary Definitions 
Security Reviews: 
Systematic assessments to detect and address vulnerabilities in productive models, ensuring 
they are safeguarded against potential threats, breaches, and unauthorized access. 
Robustness Reviews: 
Complete evaluations of a model’s ability to maintain functionality and performance under ad­
versarial attacks, unexpected inputs, or challenging conditions. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Not applicable. ","Ensure adequate documentation of the frequency, scope and methodologies for independent 
safety reviews of product models. 
22 ",Not applicable. ,"- 9 Risk Management System 
- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
23 "
AISR-06,Formal verification,"• Other approaches such as Deep Learning or Shallow Learning Methods were used (Q1) 
AND 
• The architecture is fully known (Q2) AND 
• There is full knowledge of parameters of the involved AI models (Q3) ","The possibility of verifying the correctness of the output by formal verification, at least of mod­
ules of the full system shall be considered. ",Test-based ,"Supplementary Definitions 
Formal Verification: 
The use of mathematical techniques to ensure that the system or its components operate as in­
tended by checking against predefined rules and specifications. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Formal verification can be conducted by mapping functions to smaller AI models that can be 
individually checked and verified. 
24 ","Verify that formal verification has been considered to verify the correctness of the output. Eval­
uate the formal guarantees globally (for the whole system) or module-wise using the suggested 
evaluation tools from the supportive guidance. ","- ReLUPlex - can be used to formally verify neural network properties by checking activation 
functions and constraints in individual AI model components. 
- Abstract Domain Transformers - can be used to perform static analysis and verify AI model 
behavior against predefined specifications. ","- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
25 "
AISR-07,White box robustness,"• The architecture is fully known (Q2) AND 
• There is full knowledge of parameters of the involved AI models (Q3) ","The attack surface for white-box evasion attacks shall be assessed with appropriate [attack vec­
tors]. ",Test-based ,"Supplementary Definitions 
White-Box: 
Scenarios where attackers have full access to the internal structure, parameters, and algorithms 
of a system or model, allowing detailed analysis and exploitation. 
Evasion Attacks: 
Methods where attackers modify inputs to trick a system or model into making wrong or unex­
pected decisions without changing the system itself. 
Exemplary [parameters] 
[attack vectors]: Standard Adversarial Attacks - FGSM (Fast gradients sign method), PGD (Project 
gradient descent), BIM (Basic Iterative Method), CW (Carlini-Wagner). 
Additional guidance regarding the requirement 
Not applicable. 
26 ","Verify that the attack surface has been assessed for white box attacks. Verify that the system was 
tested against relevant white-box attacks and demonstrates adequate resistance. ","- CleverHans - can be used to generate adversarial examples and evaluate the AI model’s robust­
ness against common white-box evasion attacks. 
- Adversarial Robustness Toolbox - can be used to systematically test AI models with a range of 
adversarial attacks and measure their resistance to white-box evasion techniques. ","- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
27 "
AISR-08,Gray and black box robustness via surrogate model,"• The architecture is not or only partially known (Q2) OR 
• There is only partial or zero knowledge of parameters of the involved AI models (e.g. usage 
of third-party model with API access providing model results and probability scores or 
other meta-information / providing model results only) (Q3) ","The attack surface for gray and black box evasion attacks shall be assessed with appropriate [at­
tack vectors]. ",Test-based ,"Supplementary Definitions 
Gray Box: 
A scenario where attackers have partial knowledge of the system or model, such as access to 
some parameters, architecture details, or limited input-output behaviour. 
Black Box: 
A scenario where attackers have no internal knowledge of the system or model and rely on ob­
servable input-output behaviour. 
Evasion Attacks: 
Methods where attackers modify inputs to trick a system or model into making wrong or unex­
pected decisions without changing the system itself. 
Exemplary [parameters] 
[attack vectors]: e.g., Standard gray and black box attacks - Transfer attack with similar (pre­
trained) surrogate model, Training of a (fine-tuned) surrogate model if high bandwidth with 
original model is available, Z00 (Zero order attack), Boundary Attack, Single Pixel Attack. 
28 
Additional guidance regarding the requirement 
The known information should be assumed realistically (obtainable by an attacker). ","Verify that the attack surface has been assessed for gray and black box attacks. Verify that the 
system was tested against relevant gray-/black-box attacks and demonstrates adequate resis­
tance. ","- CleverHans - can be used to simulate gray-box and black-box attacks using techniques such as 
transfer attacks, surrogate models, and boundary attacks. 
- Adversarial Robustness Toolbox - can be used to conduct advanced black-box and gray-box 
evasion tests. ","- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
29 "
AISR-09,White box attacks,"• The architecture is fully known (Q2) AND 
• There is full knowledge of parameters of the involved AI models (Q3) ","The attack surface for white-box information extraction attacks shall be assessed with appro­
priate [attack vectors]. ",Test-based ,"Supplementary Definitions 
White-Box: 
Scenarios where attackers have full access to the internal structure, parameters, and algorithms 
of a system or model, allowing detailed analysis and exploitation. 
Extraction Attacks: 
Methods where attackers try to obtain sensitive information from a model, such as its training 
data, parameters, or underlying logic, by analyzing its responses or internal structure. 
Exemplary [parameters] 
[attack vectors]: e.g., Membership inference attacks, Property/Attributed Inference attacks, Re­
construction Attacks (of training samples). 
Additional guidance regarding the requirement 
Not applicable. 
30 ","Verify that the attack surface has been assessed for white-box information extraction attacks. 
Verify that relevant attack vectors have been evaluated and that the sensitive information, such 
as training data, model parameters, or underlying logic, can not be extracted. ","- Adversarial Robustness Toolbox - can be used to conduct membership inference, property in­
ference, and reconstruction attacks to test the model’s vulnerability to information extraction. 
- TensorFlow Privacy - can be used to assess differential privacy protections and analyze the 
model’s susceptibility to white-box extraction techniques. 
- Privacy Meter - can be used to evaluate membership inference risks and determine if attackers 
can infer whether specific data was used in model training. ","- 9 Risk Management System 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
31 "
